date,hour,timestamp,country,price
2022/01/13,03:00 - 04:00,2022-01-13 03:00:00,belgium,200.9
2022/01/13,04:00 - 05:00,2022-01-13 04:00:00,belgium,179.0
2022/01/13,05:00 - 06:00,2022-01-13 05:00:00,belgium,187.06
2022/01/13,06:00 - 07:00,2022-01-13 06:00:00,belgium,194.14
2022/01/13,07:00 - 08:00,2022-01-13 07:00:00,belgium,227.8
2022/01/13,08:00 - 09:00,2022-01-13 08:00:00,belgium,231.99
2022/01/13,09:00 - 10:00,2022-01-13 09:00:00,belgium,243.09
2022/01/13,10:00 - 11:00,2022-01-13 10:00:00,belgium,228.26
2022/01/13,11:00 - 12:00,2022-01-13 11:00:00,belgium,209.23
2022/01/13,12:00 - 13:00,2022-01-13 12:00:00,belgium,198.76
2022/01/13,13:00 - 14:00,2022-01-13 13:00:00,belgium,200.0
2022/01/13,14:00 - 15:00,2022-01-13 14:00:00,belgium,203.1
2022/01/13,15:00 - 16:00,2022-01-13 15:00:00,belgium,226.89
2022/01/13,16:00 - 17:00,2022-01-13 16:00:00,belgium,253.5
2022/01/13,17:00 - 18:00,2022-01-13 17:00:00,belgium,267.3
2022/01/13,18:00 - 19:00,2022-01-13 18:00:00,belgium,267.3
2022/01/13,19:00 - 20:00,2022-01-13 19:00:00,belgium,250.0
2022/01/13,20:00 - 21:00,2022-01-13 20:00:00,belgium,235.19
2022/01/13,21:00 - 22:00,2022-01-13 21:00:00,belgium,211.58
2022/01/13,22:00 - 23:00,2022-01-13 22:00:00,belgium,211.7
2022/01/13,23:00 - 00:00,2022-01-13 23:00:00,belgium,190.2
2022/01/14,00:00 - 01:00,2022-01-14 00:00:00,belgium,178.7
2022/01/14,01:00 - 02:00,2022-01-14 01:00:00,belgium,168.75
2022/01/14,02:00 - 03:00,2022-01-14 02:00:00,belgium,178.09
2022/01/14,03:00 - 04:00,2022-01-14 03:00:00,belgium,163.33
2022/01/14,04:00 - 05:00,2022-01-14 04:00:00,belgium,162.61
2022/01/14,05:00 - 06:00,2022-01-14 05:00:00,belgium,168.19
2022/01/14,06:00 - 07:00,2022-01-14 06:00:00,belgium,184.7
2022/01/14,07:00 - 08:00,2022-01-14 07:00:00,belgium,239.38
2022/01/14,08:00 - 09:00,2022-01-14 08:00:00,belgium,286.6
2022/01/14,09:00 - 10:00,2022-01-14 09:00:00,belgium,274.72
2022/01/14,10:00 - 11:00,2022-01-14 10:00:00,belgium,243.39
2022/01/14,11:00 - 12:00,2022-01-14 11:00:00,belgium,229.81
2022/01/14,12:00 - 13:00,2022-01-14 12:00:00,belgium,219.36
2022/01/14,13:00 - 14:00,2022-01-14 13:00:00,belgium,200.04
2022/01/14,14:00 - 15:00,2022-01-14 14:00:00,belgium,205.21
2022/01/14,15:00 - 16:00,2022-01-14 15:00:00,belgium,219.15
2022/01/14,16:00 - 17:00,2022-01-14 16:00:00,belgium,247.08
2022/01/14,17:00 - 18:00,2022-01-14 17:00:00,belgium,262.0
2022/01/14,18:00 - 19:00,2022-01-14 18:00:00,belgium,274.44
2022/01/14,19:00 - 20:00,2022-01-14 19:00:00,belgium,255.9
2022/01/14,20:00 - 21:00,2022-01-14 20:00:00,belgium,218.82
2022/01/14,21:00 - 22:00,2022-01-14 21:00:00,belgium,219.16
2022/01/14,22:00 - 23:00,2022-01-14 22:00:00,belgium,195.95
2022/01/14,23:00 - 00:00,2022-01-14 23:00:00,belgium,186.0
2022/01/15,00:00 - 01:00,2022-01-15 00:00:00,belgium,222.01
2022/01/15,01:00 - 02:00,2022-01-15 01:00:00,belgium,211.1
2022/01/15,02:00 - 03:00,2022-01-15 02:00:00,belgium,202.58
2022/01/15,03:00 - 04:00,2022-01-15 03:00:00,belgium,190.11
2022/01/15,04:00 - 05:00,2022-01-15 04:00:00,belgium,190.58
2022/01/15,05:00 - 06:00,2022-01-15 05:00:00,belgium,198.1
2022/01/15,06:00 - 07:00,2022-01-15 06:00:00,belgium,185.18
2022/01/15,07:00 - 08:00,2022-01-15 07:00:00,belgium,200.1
2022/01/15,08:00 - 09:00,2022-01-15 08:00:00,belgium,215.6
2022/01/15,09:00 - 10:00,2022-01-15 09:00:00,belgium,230.0
2022/01/15,10:00 - 11:00,2022-01-15 10:00:00,belgium,222.39
2022/01/15,11:00 - 12:00,2022-01-15 11:00:00,belgium,214.92
2022/01/15,12:00 - 13:00,2022-01-15 12:00:00,belgium,208.43
2022/01/15,13:00 - 14:00,2022-01-15 13:00:00,belgium,200.0
2022/01/15,14:00 - 15:00,2022-01-15 14:00:00,belgium,203.09
2022/01/15,15:00 - 16:00,2022-01-15 15:00:00,belgium,213.98
